;site;poissons;Abondance
2974;T_S257;5652;21
2975;T_S258;5652;97
2976;T_S259;5652;11
2977;T_S260;5652;26
2978;T_S261;5652;11
2979;T_S262;5652;6
2980;T_S263;5652;4
2981;T_S264;5652;8
2982;T_S265;5652;3
2983;T_S266;5652;79
2984;T_S267;5652;60
2985;T_S268;5652;23
2986;T_S269;5652;8
2987;T_S270;5652;8
2988;T_S271;5652;23
2989;T_S273;5652;14
2990;T_S274;5652;55
2991;T_S275;5652;17
2992;T_S267;5654;38
2998;T_S253;5660;1
2999;T_S256;5660;13
3000;T_S257;5660;1
3001;T_S275;5660;1
3002;T_S256;5664;6
3003;T_S257;5664;1
3004;T_S258;5664;15
3005;T_S259;5664;1
3006;T_S266;5664;5
3007;T_S275;5664;1
3018;T_S251;5668;9
3019;T_S253;5668;4
3020;T_S256;5668;4
3021;T_S258;5668;6
3022;T_S269;5668;3
3028;T_S251;5670;2
3029;T_S271;5670;2
3049;T_S249;5672;1
3050;T_S251;5672;10
3051;T_S252;5672;1
3052;T_S254;5672;5
3053;T_S256;5672;4
3054;T_S257;5672;1
3055;T_S258;5672;5
3056;T_S259;5672;6
3057;T_S260;5672;6
3058;T_S261;5672;3
3059;T_S262;5672;1
3060;T_S263;5672;2
3061;T_S264;5672;1
3062;T_S266;5672;2
3063;T_S267;5672;13
3064;T_S269;5672;4
3065;T_S270;5672;9
3066;T_S271;5672;13
3067;T_S272;5672;1
3068;T_S275;5672;1
3082;T_S251;5694;5
3083;T_S252;5694;2
3084;T_S253;5694;7
3085;T_S254;5694;5
3086;T_S255;5694;12
3087;T_S256;5694;1
3088;T_S258;5694;12
3089;T_S259;5694;9
3090;T_S260;5694;4
3091;T_S261;5694;11
3092;T_S262;5694;1
3093;T_S263;5694;5
3094;T_S264;5694;12
3095;T_S265;5694;11
3096;T_S266;5694;3
3097;T_S267;5694;7
3098;T_S268;5694;20
3099;T_S271;5694;1
3100;T_S273;5694;54
3101;T_S274;5694;85
3102;T_S275;5694;1
3116;T_S249;5696;5
3117;T_S251;5696;3
3118;T_S253;5696;8
3119;T_S254;5696;6
3120;T_S255;5696;8
3121;T_S256;5696;5
3122;T_S257;5696;5
3123;T_S258;5696;3
3124;T_S259;5696;3
3125;T_S260;5696;4
3126;T_S262;5696;3
3127;T_S263;5696;5
3128;T_S264;5696;2
3129;T_S265;5696;4
3130;T_S266;5696;4
3131;T_S267;5696;3
3132;T_S268;5696;6
3133;T_S274;5696;5
3134;T_S275;5696;2
3140;T_S256;5700;1
3141;T_S267;5700;20
3149;T_S249;5706;3
3150;T_S251;5706;3
3151;T_S255;5706;1
3152;T_S256;5706;4
3153;T_S257;5706;1
3154;T_S258;5706;6
3155;T_S260;5706;5
3156;T_S261;5706;3
3157;T_S263;5706;1
3158;T_S264;5706;1
3159;T_S266;5706;1
3160;T_S268;5706;2
3170;T_S249;5708;14
3171;T_S251;5708;13
3172;T_S252;5708;1
3173;T_S253;5708;11
3174;T_S254;5708;2
3175;T_S255;5708;4
3176;T_S256;5708;2
3177;T_S257;5708;4
3178;T_S258;5708;67
3179;T_S259;5708;6
3180;T_S261;5708;5
3181;T_S262;5708;1
3182;T_S263;5708;2
3183;T_S264;5708;2
3184;T_S265;5708;4
3185;T_S266;5708;11
3186;T_S270;5708;1
3187;T_S274;5708;4
3188;T_S275;5708;10
3198;T_S251;5712;4
3199;T_S253;5712;2
3200;T_S255;5712;5
3201;T_S257;5712;2
3202;T_S258;5712;2
3203;T_S259;5712;2
3204;T_S260;5712;10
3205;T_S261;5712;2
3206;T_S262;5712;4
3207;T_S263;5712;2
3208;T_S264;5712;3
3209;T_S265;5712;5
3210;T_S266;5712;4
3211;T_S275;5712;2
3223;T_S256;5714;2
3224;T_S257;5714;2
3225;T_S260;5714;5
3226;T_S265;5714;2
3227;T_S266;5714;1
3228;T_S271;5714;2
3229;T_S275;5714;2
3239;T_S252;5715;1
3240;T_S257;5715;4
3241;T_S265;5715;2
3242;T_S267;5715;20
3243;T_S269;5715;21
3244;T_S270;5715;19
3245;T_S250;5716;1
3246;T_S251;5716;6
3247;T_S261;5716;2
3256;T_S251;5718;4
3257;T_S253;5718;6
3258;T_S254;5718;3
3259;T_S256;5718;4
3260;T_S258;5718;5
3261;T_S259;5718;9
3262;T_S260;5718;4
3263;T_S261;5718;3
3264;T_S263;5718;2
3265;T_S265;5718;11
3266;T_S266;5718;3
3267;T_S275;5718;2
3271;T_S251;5728;3
3272;T_S253;5728;5
3273;T_S255;5728;8
3274;T_S256;5728;1
3275;T_S257;5728;1
3276;T_S258;5728;1
3277;T_S263;5728;1
3278;T_S265;5728;1
3279;T_S266;5728;3
3280;T_S267;5728;1
3281;T_S275;5728;1
3282;T_S255;5910;8
3284;T_S259;5930;1
3285;T_S268;5930;1
3287;T_S251;6255;1
3288;T_S256;6255;3
3289;T_S258;6255;1
3290;T_S260;6255;2
3291;T_S263;6255;1
3292;T_S264;6255;1
3293;T_S267;6255;1
3294;T_S272;6255;2
3301;T_S251;6260;3
3302;T_S253;6260;1
3303;T_S255;6260;3
3304;T_S258;6260;2
3305;T_S262;6260;1
3306;T_S263;6260;1
3307;T_S264;6260;1
3308;T_S265;6260;3
3309;T_S267;6260;1
3310;T_S268;6260;1
3311;T_S270;6260;1
3312;T_S271;6260;4
3313;T_S272;6260;4
3316;T_S269;6300;1
3317;T_S272;6300;2
3318;T_S251;6316;8
3319;T_S255;6316;1
3320;T_S256;6316;4
3321;T_S258;6316;2
3322;T_S260;6316;2
3323;T_S261;6316;2
3324;T_S264;6316;6
3325;T_S265;6316;2
3326;T_S266;6316;2
3327;T_S268;6316;1
3328;T_S273;6316;11
3329;T_S274;6316;2
3330;T_S275;6316;3
3331;T_S267;6338;1
3338;T_S251;6382;7
3339;T_S253;6382;2
3340;T_S255;6382;2
3341;T_S265;6382;4
3342;T_S267;6382;1
3343;T_S269;6382;7
3344;T_S270;6382;6
3345;T_S271;6382;4
3346;T_S272;6382;5
3347;T_S273;6382;2
3348;T_S254;6440;1
3349;T_S251;6482;1
3350;T_S258;6482;2
3351;T_S259;6482;1
3352;T_S260;6482;1
3353;T_S263;6482;1
3354;T_S271;6482;2
3355;T_S275;6482;4
3356;T_S274;6494;1
3357;T_S253;6507;1
3358;T_S249;6508;1
3359;T_S251;6508;4
3360;T_S258;6508;1
3361;T_S260;6508;4
3362;T_S261;6508;2
3363;T_S262;6508;2
3364;T_S266;6508;1
3365;T_S268;6508;1
3366;T_S269;6508;2
3367;T_S270;6508;2
3368;T_S273;6508;2
